ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
30,"– Wiesz, co to jest? – spytała, wysypując zawartość na podłogę.","Z plecaka wyleciały zwinięte ciasno koszulki, majtki, jeden biustonosz, jakieś brzęczące pudełeczko i parę innych drobiazgów.","Po krótkiej chwili oczekiwania na odpowiedź kobieta przykucnęła, wpatrując się w oczy Klaudyny.",KWJP,zwinięte,zwinąć,to roll up,-,-,offenses,0.0,0,0,X,0,sometimes_euph
31,"Jakieś trzy tygodnie po powrocie z konferencji zorientowała się, że spóźnia jej się okres i była pewna, że stało się to, czego obawiała się najbardziej.","Z Nikim nie zabezpieczyli się oczywiście w żaden sposób – wszystko to stało się tak nagle i spontanicznie, że o jakimkolwiek niebezpieczeństwie nie zdążyła nawet pomyśleć.","Przeszło jej wprawdzie przez głowę, kiedy zaczynali się kochać, że mogą wyniknąć z tego kłopoty, ale wkrótce zalała ją fala tak pełnej, nieziemskiej wprost rozkoszy, że uznała, iż każda, absolutnie każda cena jest tego warta.",KWJP,to,to,it,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
32,Dotyczyły one także zmiany religii.,"Z jednej strony zezwolił im na zatrudnianie chrześcijańskich sług i dziewek; zabronił nawracania pogańskich niewolników będących własnością żydów na chrześcijaństwo, co pociągałoby za sobą ich wyzwolenie.","Z drugiej strony ograniczał możliwość konwersji żydów na chrześcijaństwo przez zarządzenie, że konwertyci, opuszczając judaizm, mają pozostawić w żydowskim posiadaniu swój majątek: „Tak jak porzucili prawo przodków, niech też porzucą swe majątki (par. 6)”82.",KWJP,dziewek,dziewka,maiden,-,-,sex,0.0,0,1,0,X,sometimes_euph
33,"Zarówno wobec władz urzędujących w Paryżu, jak i administrujących na miejscu.","Wzburzenie ludu wywoływały również nadużycia władz lokalnych, związanych z nią środowisk oraz zwolenników rewolucji wywodzących się głównie z miasteczek – „republikanów” albo „patriotów” czerpiących korzyści ze swojego uprzywilejowanego stanowiska oraz, jak pisze Secher, prowokująco wynoszących się ponad innych.","„Skąd macie pieniądze, bezczelni złodzieje?”",KWJP,czerpiących korzyści,czerpać korzyści,to benefit,brać łapówki,to take bribes,offenses,1.0,1,1,X,1,always_euph
34,"Na gumce pisałem od tyłu „chuj”, po czym pieczętowałem mu rękę albo czoło, zresztą z wzajemnością.","Wzajemne bazgranie, czy nawet rwanie całych zeszytów, zrzucanie plecaka z wyższego piętra drugiemu na głowę, wzajemne spsikiwanie podwędzonym z domu, tandetnym dezodorantem – te zabawy były naszą chłopięcą normą.","Nie było to przyjemne, niestety, ale w szkole byłem mistrzem takich zabaw.",KWJP,podwędzonym,podwędzić,"to smoke (meet, fish etc.)",ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
35,"Wykupywano, wykradano ubrania pomordowanych.","Wyrostki wiejskie od rana czatowały za drzewami, przyglądały się nadjeżdżającym transportom, spokojnie wysłuchiwały strzałów i krzyków, potem podkradały się pod kupy bezładnie, w śmiertelnej trwodze porozrzucanych ubrań, chwytały, co się dało i uciekały.",Czasami Ukraińcy strzelali za tymi złodziejaszkami – dwóch chłopców zabito.,KWJP,chwytały,chwytać,to grab,kraść,to steal,offenses,1.0,1,1,X,1,always_euph
36,Nagle zachciało jej się śmiać.,"Wyjęła piwo z lodówki, otworzyła, wypiła łyk i poszła do łóżka.",Sięgnęła jeszcze po tabletki leżące na szafce nocnej.,KWJP,poszła do łóżka,pójść do łóżka,to go to bed,-,-,sex,0.0,0,0,0,X,sometimes_euph
37,Staruszka wolno idzie przez przedpokój.,"Wygląda młodziej, niż można by się spodziewać.","Jest wyprostowana, ubrana w długą, wzorzystą suknię.",KWJP,Wygląda młodziej,wyglądać młodo,look younger,wyglądać staro,look older,physical appearance,0.0,X,0,1,0,sometimes_euph
38,Sezon wcześniej zdobył mistrzostwo kraju i koronę króla strzelców oraz wystąpił w Lidze Mistrzów,"Wydawało się, że przeżywa drugą młodość.","Ten piłkarz z numerem 77 był tak dobry, że spokojnie mógłby występować w Premier League — mówił przed rokiem jeden z angielskich dziennikarzy po meczu Wisły z Fulham w Lidze Europy. Iliew ma 34 lata, więc piłkarskim emerytem jeszcze go nie można nazwać.",KWJP,drugą młodość,druga młodość,second youth,-,-,physical appearance,1.0,X,1,1,0,sometimes_euph
39,Jeszcze brakowało czegoś na tych łysych ścianach.,"Wyciągnęła pudło ze zdjęciami i wybrała cztery czarno-białe fotografie matki, jedną kota Maurycego i dwa bardzo udane portrety jej samej sprzed siedmiu lat.",Porobiła zdjęcia zdjęciom i wysłała e-mailem do zakładu fotograficznego z prośbą o ich powiększenie.,KWJP,pudło,pudło,a box,-,-,offenses,0.0,0,0,X,0,sometimes_euph
40,"Pilnujcie się i pilnujcie Doroty, gówniarze.","Wy na razie tylko dostajecie po dupie, a ona może iść do piachu.","Zapaliłem sporta i odczekałem, aż Hubert zniknie za zakrętem ścieżki.",KWJP,iść do piachu,iść do piachu,go to the sand,umrzeć,died,death,1.0,X,1,1,1,always_euph
41,"O znanym teraz w świecie serialowym aktorze, którego zwolnił, bo dostał rolę w serialu.","Wtedy wypadł na chwilę z pokoju Krasnal, stwierdzając, że idealnym pomysłem byłoby, gdybym ja również wystąpiła na scenie, po czym buchnął ze stołu butelkę wina i znów się zamknął w pokoju z Romkiem.","Była bardzo podniecona, że premierę naszego spektaklu przewidziano prosto na festiwal teatralny. Inni mieli trochę odmienne zdanie.",KWJP,buchnął,buchnąć,to belch,ukraść,to steal,offenses,1.0,1,1,X,1,sometimes_euph
42,"Zerka na nią, uśmiecha się węgielkami, a nawet całymi zębami.",Wtedy Oliwka wyciąga z torebki bransoletki fluorescencyjne.,"Przyniosła z jakiejś świetlicy, do której czasem chodzi.",KWJP,bransoletki,bransoletki,bracelets,-,-,offenses,0.0,0,0,X,0,sometimes_euph
43,"Leżał obok niej, gładził jej plecy, wdychał zapach perfum i potu, jej zapach, który od pierwszej chwili tak go odurzył.","Wszystko to stało się tak szybko, tak nieoczekiwanie.","Tego wieczora, kiedy Blavatsky ujawnił mu fragment listu, Tomasz siedział w lobby hotelu i popijał szklaneczkę whisky. Monika przysiadła się do niego jakby nigdy nic, jakby byli starymi przyjaciółmi.",KWJP,to,to,it,-,-,sex,1.0,1,1,1,X,sometimes_euph
44,Prawicowcy chcieliby jednocześnie budować partnerstwo strategiczne z Litwinami i jeszcze mocniej naciskać na prawa mniejszości. Powołują się na spuściznę Lecha Kaczyńskiego i jego polityki.,"Wszystko to bardzo piękne, tylko warto pamiętać, że dwa dni przed śmiercią w Smoleńsku Lech Kaczyński bawił z oficjalną wizytą w Wilnie, podczas której zabierał się do skonsumowania owocu swojego podejścia do Litwy.","A podejście to miało być skuteczne – Kaczyński spodziewał się na przykład załatwienia sprawy zapisu polskich nazwisk, które wciąż jeszcze na Litwie zapisywać należy zgodnie z litewską ortografią.",KWJP,skonsumowania,skonsumować,to consume,-,-,sex,0.0,0,0,0,X,sometimes_euph
45,Na której tłum znających się doskonale wesołych emerytów jeszcze przed wypłynięciem z portu rozpoczął regionalny program rozrywkowy.,"Wszyscy zatem, solidnie, skontrolowali, czy na pewno mają spakowane dowody osobiste, po czym pojechaliśmy do portu i wsiedliśmy na pokład bardzo solidnej, choć leciwej już nieco balii.","Śpiewom, recytacjom, konkursom wszelakim końca nie było, a każda godzina prześmiesznego rejsu dostarczała nowych rozrywek, takich jak np. konkurs tańca towarzyskiego, do którego naturalnie i z przyjemnością dołączyliśmy.",KWJP,leciwej,leciwy,having many years,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
46,W trakcie i po ligowym sobotnim spotkaniu.,Wszyscy spędzili noc na dołku w Kielcach i Skarżysku-Kamiennej.,Ponad połowa z kibiców przyznała się do winy i pokornie wysłuchała wyroku sądu oraz pogodziła się z surową dla nich karą.,KWJP,dołku,dołek,little hole,areszt na policji,holding cell,offenses,1.0,1,1,X,1,always_euph
47,Nadmiar tłuszczu w organizmie źle wpływa na produkcję męskich hormonów płciowych i tym samym na płodność mężczyzny.,Współżycie z wykorzystaniem lubrykantów może pogorszyć jakość spermy i ograniczyć ruchliwość plemników.,"Jeśli konieczne jest nawilżenie, lepiej jest wykorzystać oleje roślinne.",KWJP,współżycie,współżycie,coexistence,współżycie płciowe,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
48,"Prawie wszyscy stwierdzili, że ta para zawsze miała się ku sobie.","Wprawdzie publicznie okazywali sobie niechęć, ale robili to tylko na pokaz, żeby uśpić czujność Mirka.","Aneta Feliksiak potwierdziła, że w dniu morderstwa, jadąc do rodziców mieszkających w Szczytnikach, widziała Małgorzatę wysiadającą z busa w Brzeziu, niedaleko altanki Trzeciaka.",KWJP,robili to,robić to,to do it,-,-,sex,0.0,0,0,0,X,sometimes_euph
49,"Pewnego razu zanurkowałam w świat bukareszteńskiego luksusu, kiedy moja przyjaciółka Ania zaprosiła mnie na basen z sauną, siłownią i innymi przyległościami, gdzie nawet mydelniczki z miodowego drewna pasowały do miodowych desek sedesowych.","Wokół krążyły osoby opalone i żywotne, szczupłe i wysportowane, a wśród nich uśmiechnięty pan z brzuszkiem.",To nasz chiromanta – powiedziała Ania,KWJP,brzuszkiem,brzuszek,tummy,(duży) brzuch,(big) belly,physical appearance,1.0,X,1,1,1,sometimes_euph
50,"To było pierwsze miejsce, gdzie zagadałam o pracę.","Właściciel, miły facet w sumie, taki trochę grubszy, drogie auta, dobre ciuchy, widać, że dziany, wcześniej prowadził inną budkę z kebabem ze wspólnikiem, ale się o coś pokłócili i on otworzył Dżafara, a tamten innego kebaba w innym mieście.","Ojciec nie był zachwycony z miejsca pracy córki, mówił jej, że to wstyd.",KWJP,grubszy,grubszy,thicker,gruby,fat,physical appearance,1.0,X,1,1,1,sometimes_euph
51,"sobota, 13 września",Włamywacze „wyczyścili” jedno z mieszkań przy ul. Piastów Śląskich w Bielsku-Białej.,"Zabrali 1,6 tys. zł i karty bankomatowe.",KWJP,wyczyścili,wyczyścić,to clean up,porozkradać do końca,to steal everything,offenses,1.0,1,1,X,1,sometimes_euph
52,"Ulatniał się, zanikał!",Władza to proces.,Wielkość to proces.,KWJP,władza,władza,power/authority,-,-,offenses,0.0,0,0,X,0,sometimes_euph
53,"— Warunki przypominały sanatorium, tyle że strzeżone przez żołnierzy.","Władza powiedziała im, że ""przyjechały terrorystki przyłapane z bronią"" — wspomina Barbara Napieralska, wówczas zatrudniona w Teletrze.","Mieszkała z Laskowicz w jednym pokoju: — Już w lutym Krystyna wydrukowała na bibułkach ulotki ze ""ślepowronem"".",KWJP,władza,władza,power/authority,policja,police,offenses,1.0,1,1,X,1,sometimes_euph
54,OBJAWIŁ SIĘ NOWY TALENT KRASOMÓWCZY.,"Witold Bańka – minister sportu. „Druga młodość, trzecie zęby” – zgadnijcie, kto to i dlaczego Grzegorz Schetyna.",ALE TO NIE BYŁ NAJWIĘKSZY HIT WYWIADU PANA MINISTRA W RMF U KOLEGI MAZURKA.,KWJP,trzecie zęby,trzecie zęby,third teeth,sztuczna szczęka,dentures,physical appearance,1.0,X,1,1,1,sometimes_euph
55,"Przeprowadził prywatne, szalone, poza wszelkimi procedurami śledztwo, w wyniku którego ustalił, że aktorka w 1934 roku pożyczyła od niejakiego Szczerbatego Francuza siedemdziesiąt tysięcy dolarów na budowę willi w Miami.","Willę postawiła, ale pieniędzy – podobno – nigdy nie oddała.","Jego zdaniem miało to świadczyć, że za zabójstwem aktorki stał ten bezwzględny i bezzębny gangster, którego matka – albo macocha, cholera wie… – była francuską szansonistką, koncertującą jeszcze przed pierwszą wojną światową w podejrzanych spelunach na Zachodnim Wybrzeżu.",KWJP,nie oddała,nie oddać,to not return,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
56,"W tym samym czasie prowadzę drobiazgową kwerendę naukową, z której wynika, że poza bezcenną „Walką karnawału z postem” Wächterowie wywożą z Krakowa mnóstwo wartościowych dzieł sztuki.","Większość z nich upłynniają na rynku antykwarycznym Wiednia już po grudniu 1939 r., ale sporą część odkładają – żona Wächtera , Charlotte, świetnie zna się na sztuce.","Wybitny historyk sztuki, dyrektor Muzeum Narodowego w Krakowie, Feliks Kopera apeluje w 1946 r. do Komisji Badań nad Zbrodniami Hitlerowskimi, by na listę zbrodniarzy wojennych wciągnąć także ją (w pamięci Krakowa zapisała się jako „gorsza od męża”).",KWJP,upłynniają,upłynniać,to liquidate,sprzedawać skradzione rzeczy,to sell stolen things,offenses,1.0,1,1,X,1,always_euph
57,Królewny.,"Większość tych, które poznałem osobiście, to były miłe i pracowite osoby do momentu, gdy się po cichaczu nawaliły w pracy alkoholem podprowadzonym z baru.","Królewny nie wytrzymują chyba presji oczekiwania na brudne naczynia albo samotności, jaka może doskwierać w tych małych pomieszczeniach.",KWJP,podprowadzonym,podprowadzić,to escort/to walk sb to sth,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
58,Nikt tak nie potrafi wrodzonej nieufności skierować przeciwko sobie samym.,"Więc to trochę jakbym miał się bać, że obrobi mnie gang Olsena.","Okazuje się, że nie cały internet opanowali pisowcy wespół z kukizowcami i kucami Korwina.",KWJP,obrobi,obrobić,to process,okraść,to rob,offenses,1.0,1,1,X,1,always_euph
59,"Wtedy ona stwierdziła, że jej się też chce.","Więc obie zaliczyłyśmy bełt – ja emocjonalny, ona w toalecie.","Po tygodniu okazało się, że ta noc była tak cudowna, że się nie zabezpieczyli.",KWJP,bełt,bełt,bolt,wymioty,vomit,physiology,1.0,1,1,X,1,always_euph
60,"Wieś jest długą ulicówką, ciągnącą się nad torfowiskiem, z okien swoich domostw mieszkańcy mają niezły widok na bagna.","Wieś ma swoje lata, była dziedziczną wsią Całowańskich, obdarzoną przywilejami w 1476 przez księcia Konrada III.","Ród właścicieli doszedł do znaczenia w XVI wieku, posiadał nawet część dóbr otwockich, jeden z jego przedstawicieli w połowie wieku XVI tytułował się właścicielem Otwocka Wielkiego.",KWJP,ma swoje lata,mieć swoje lata,have your own age,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
61,Zdaję sobie z tego doskonale sprawę z własnego przykładu.,"Wiem, że współżycie ze mną łatwe nie jest, a nieraz bywa ciężkie.",Lecz już Apostoł św. Paweł powiedział: „Przemiana moja [nieczytelne – przyp. aut.]”.,KWJP,współżycie,współżycie,coexistence,-,-,sex,0.0,0,0,0,X,sometimes_euph
62,". A teraz w drogę, bo takie jest nasze życie, takie jest powołanie misyjne, które podjąłem.","Wiem, że nie jestem młody, ale co tam.",Młodym duchem chcę pozostać na zawsze – mówił 54-letni E. Bednarek.,KWJP,nie jestem już młody,nie być młodym,not to be a young,być starym,be old,physical appearance,1.0,X,1,1,1,always_euph
63,. Ale w tamtym klimacie były to posiłki ciężkostrawne.,"Wielu zawodników podczas tych mistrzostw miało lekką nadwagę, stawali się wręcz ociężali.","Kucharz wychodził ze skóry, żeby każdemu dogodzić – mówi Piechniczek.",KWJP,nadwagę,nadwaga,overweight,-,-,physical appearance,1.0,X,1,1,0,sometimes_euph
64,"Zostawiła go samego w salonie i Jan rozpoczął poszukiwania, które jemu samemu wydawały się żałosne.","Widział, jak szukają pluskiew na filmach sensacyjnych, więc sprawdził kratki wentylacyjne, brzegi mebli, zawiasy szafy.","Nie znalazł niczego, co wzbudzałoby niepokój, jednak nie pozwolił sobie na ulgę.",KWJP,pluskiew,pluskwa,bed bug,aparat podsłuchowy,wiretap,offenses,1.0,1,1,X,1,always_euph
