ID,TEXT,PET_WORDFORM,PET,TRANSLATION,LABEL,CATEGORY,YEAR,NOTES,PUN,LABEL2,LABEL3,NOTES2,SOURCE,LEMMA_COUNT,EUPH_STATUS
165,Завдяки цьому процес переговорів і призвів до <прискорення процедури> видачі віз.,прискорення процедури,прискорення процедури,legal facilitation,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
168,"Запит військовослужбовців виконано коштом <благодійних внесків> працівників обласної та окружних прокуратур Вінниччини, - інформує пресслужба Вінницької обласної прокуратури.",благодійних внесків,благодійний внесок,voluntary donation,0,corruption,,,,,,,pawuk,13,sometimes_euph
172,"Земля ожила, й народилася віра в те, що все буде добре. Так, спогади та флешбеки на місці, ще було видно сліди руйнувань, але отут клейонкою накрив, там <підмазав>… і черешня розцвіла.",підмазав,підмазати,plaster,0,corruption,,,,,,,pawuk,6,sometimes_euph
173,"Зірки кажуть, що представникам даного знака Зодіаку дістануться <легкі гроші>.",легкі гроші,легкі гроші,easy money,0,corruption,,,,,,,Grac v. 18,6,sometimes_euph
182,"І війна є саме тим моментом, коли треба зламати хребет саме цій олігархічно-клановій системі, зробивши доступними <соціальний ліфт>, конкуренцію в суспільстві.",соціальний ліфт,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,pawuk,8,sometimes_euph
190,"ІТ-бізнес так динамічно розвивався в нашій країні, що в якийсь момент "" айтішником "" стало ставати легко, і при цьому є високий дохід. Ось цей принцип - <легкі гроші> - завжди привертав увагу правоохоронців.",легкі гроші,легкі гроші,easy money,0,corruption,,,,,,,Grac v. 18,6,sometimes_euph
191,"Канцлер Німеччини Ангела Меркель уклала угоди з 14 країнами про <прискорення процедури> повернення мігрантів, які намагаються в'їхати до Німеччини.",прискорення процедури,прискорення процедури,legal facilitation,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
194,"Китайські громадяни співчувають українцям на рівні приватних взаємовідносин, допомагають <благодійними внесками> та організацією культурних заходів з метою підтримки України.",благодійними внесками,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
197,"Кожен, хто долучиться до ярмарку, зробить свій <благодійний внесок> у спільну справу: всі виручені кошти передадуть на лікування трьом рівненським школярам.",благодійний внесок,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
199,"Коли ми, як фани спілкуємось, мені почалось здаватись, що німецькі виконавці <мають знайомства> в музичних та театральних колах, в Україні багато виконавців навіть на німецькій мові співають,",мають знайомства,мати знайомство,have acquaintances,0,corruption,,,,,,,pawuk,7,sometimes_euph
201,Комісія закликає національні органи влади застосувати максимальну гнучкість і забезпечити достатній персонал для<прискорення процедур> у пунктах пропуску.,прискорення процедур,прискорення процедури,legal facilitation,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
207,"Кошовий уже <мав знайомства> серед студентів, котрі студіювали право.",мав знайомства,мати знайомство,have acquaintances,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
212,"Лише патріотизму навряд чи вистачить, якщо військова служба не продемонструє реальної здатності служити <соціальним ліфтом>.",соціальним ліфтом,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,pawuk,8,sometimes_euph
216,Маргарита (ім’я змінено) звернулась до Південного міжрегіонального управління Державної служби з питань праці за <допомогою у вирішенні питання> виплати заборгованої заробітної плати при звільненні.,допомогою у вирішенні питання,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,pawuk,8,sometimes_euph
219,"Ми впевнені, що <послугу оцінять> наші абоненти, тому плануємо розширити можливості надання сервісних послуг і консультацій щодо тарифів",послугу оцінять,послугу оцінити,recognize the good qualities,0,corruption,,,,,,,Grac v.18,6,sometimes_euph
221,"Ми змусимо працювати <соціальні ліфти> , і нарешті гідні люди обійматимуть високі державні посади",соціальні ліфти,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
224,Ми справді виявили порушення в частині отримання <благодійних внесків> від батьків учнів та недотримання умови їх добровільності.,благодійних внесків,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
232,На даний час до працівників установи за <допомогою у вирішенні питання> пенсійного забезпечення звернулося вісімнадцять пенсіонерів.,допомогою у вирішенні питання,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
240,"На навчанні були присутні також мешканці, які просять у депутатів від«Українського об'єднання патріотів - УКРОП» <допомоги у вирішенні питань> комунального значення.",допомоги у вирішенні питань,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
242,"На протиаварійні роботи витратили 21,5 млн гривень, вартість усіх робіт покрили завдяки <благодійним внескам> , у тому числі від великих бізнесів.",благодійним внескам,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
249,"Нагадаємо, під час акції “<Дайте на лапу> ! ”, організованої фондом і львівськими журналістами, вдалося зібрати 1344 грн. на реставрацію поламаної лапи собаки Діани.",дайте на лапу,дати на лапу,donate money,0,corruption,,,,,,,Grac v.18,1,sometimes_euph
277,"Окремо хочу сказати про ситуацію на перехресті вулиць Нагірної та Єднання. Там утворюється провал. Я бачила, що ви там його підмазали, підлатали трохи, але ви <підмазали> саму дірку, але там почалося просідання асфальту, воно йде воронкою.",підмазали,підмазати,fill,0,corruption,,,,,,,pawuk,6,sometimes_euph
285,"Переважно люди, отримавши шалені <легкі гроші> , кидають роботу і насолоджуються, як уміють, життям.",легкі гроші,легкі гроші,easy money,0,corruption,,,,,,,Grac v. 18,6,sometimes_euph
287,"Перераховувати <благодійні внески>, треба вказавши цільове призначення, наприклад «Кошти на ремонт підлоги школи №...» тощо.",благодійні внески,благодійний внесок,voluntary donation,0,corruption,,,,,,,https://legalaid.wiki/index.php/%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%B1%D0%B0%D1%82%D1%8C%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D1%85_%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D1%96%D0%B9%D0%BD%D0%B8%D1%85_(%D0%B4%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85)_%D0%B2%D0%BD%D0%B5%D1%81%D0%BA%D1%96%D0%B2_%D1%83_%D0%BD%D0%B0%D0%B2%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85_%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D0%B0%D1%85,13,sometimes_euph
290,"Під час їхньої зустрічі йшлося про <прискорення процедур> , пов'язаних із наданням макрофінансової допомоги Україні.",прискорення процедур,прискорення процедури,legal facilitation,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
295,"Після цих слів до нас <занесли коньяк>:«Це вам на зберігання, щоб нас не«попалили», – повідомили. Ми були щасливі, адже нам довіряли і ми таким чином долучилися до справжнього дорослого життя!",занесли коньяк,занести коньяк,bring cognac,0,corruption,,,,,,,Grac v.18,1,sometimes_euph
296,"По-перше, у нас були налагоджені контакти з Донецьком, ми <мали знайомства> в науковому середовищі.",мали знайомства,мати знайомство,have acquaintances,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
305,"Попередні оборонно-промислові програми, ухвалені в ЄС, ніколи не розглядали жодну третю країну як повноправного <учасника схем>, окрім Норвегії.",учасника схем,учасник схеми,member of the scheme,0,corruption,,,,,,,pawuk,2,sometimes_euph
306,"Попри складнощі, Ґласс оптимістично дивиться на перспективи досягнення <взаємовигідної угоди>, враховуючи, що вже понад 75 країн почали переговори після запровадження нових мит США.",взаємовигідної угоди,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,pawuk,13,sometimes_euph
328,"Придбавши благодійник квиток, розмір <благодійного внеску> відвідувачі заходу обиратимуть самостійно.",благодійного внеску,благодійний внесок,voluntary donation,0,corruption,,,,,,,pawuk,13,sometimes_euph
333,"Про те, що власті офіційно платитимуть інформаторам, говорили ще в листопаді 2006 року, коли було підписано постанову уряду РФ "" Про джерела фінансування виплат грошової <винагороди за сприяння> боротьбі з тероризмом",винагороди за сприяння,винагорода за сприяння,a financial reward,0,corruption,,,,,,,Grac v.18,4,sometimes_euph
341,"Раніше у Єврокомісії заявили, що ЄС не пропонував Україні нову <взаємовигідну угоду> щодо видобутку корисних копалин.",взаємовигідну угоду,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,pawuk,13,sometimes_euph
349,Саме його Головне управління МВС України у Дніпропетровській області оголосило в розшук як головного підозрюваного. При цьому <винагороду за сприяння> у цьому обіцяли доволі скромну — лише 10 тисяч гривень.,винагороду за сприяння,винагорода за сприяння,a financial reward,0,corruption,,,,,,,Grac v.18,4,sometimes_euph
354,"Світлана Терещук, фахівчиня із супроводу ветеранів та демобілізованих осіб, повідомила, що надає <допомогу у вирішенні питань> військовослужбовців, ветеранів, сімей загиблих, зниклих безвісти",допомогу у вирішенні питань,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,pawuk,8,sometimes_euph
358,"Серед обов'язків: взаємодія з клієнтами через чат, <допомога у вирішенні питань> та проблем, ведення акаунтів в соцмережах, наповнення контентом корпоративних сторінок.",допомога у вирішенні питань,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,pawuk,8,sometimes_euph
361,"Система співробітництва поліції різних країн, що склалася в Інтерполі, дозволяє здійснювати пошук злочинців у широких масштабах, а також сприяє <прискоренню процедур> підготовки документів, необхідних для дотримання судових формальностей у справах щодо видачі.",прискоренню процедур,прискорення процедури,legal facilitation,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
376,"Суспільство, яке перекачане ненавистю, але при цьому демотивоване та позбавлене <соціальних ліфтів>. Так, російське суспільство не здатне до масової мобілізації.",соціальних ліфтів,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,pawuk,8,sometimes_euph
377,"Сьогодні в Україні мобільний зв'язок і взагалі зв'язок перебуває в занепаді. Воно й не дивно, тому що той, хто отримує багато <легких грошей> , зовсім не зацікавлений розвивати галузь так, щоб надавати якісні послуги.",легких грошей,легкі гроші,easy money,0,corruption,,,,,,,Grac v. 18,6,sometimes_euph
389,"Також мешканка столиці привласнила майже 1 млн грн <благодійних внесків>, які призначалися військовим ЗСУ на Дніпропетровщині.",благодійних внесків,благодійний внесок,voluntary donation,0,corruption,,,,,,,pawuk,13,sometimes_euph
390,"Також Т. Лулашник наголосив, що канадське суспільство прагне до укладання <взаємовигідних угод> і тісної співпраці у різних галузях і сферах, зокрема і міжнародних відносин.",взаємовигідних угод,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
395,"Тендерний комітет на чолі із заступником генерального директора колишньої НТКУ Павлом Грицаком обрав переможцем компанію«Артмакс Інжиніринг», яка свої <послуги оцінила> у 23,5 млн грн.",послуги оцінила,послугу оцінити,set the price the services,0,corruption,,,,,,,Grac v.18,6,sometimes_euph
402,"Тобто, собаки сумніваються, чи  <брати винагороду>, якщо вони передбачають, що можуть її не отримати.",брати винагороду,брати винагороду,take a reward,0,corruption,,,,,,,Grac v.18,3,sometimes_euph
408,"Тому метою даного законопроекту є усунення однієї очевидної недоречності, пов'язаної з тим, у яких відносинах можуть перебувати <учасники схем> іпотечного кредитування, і саме ця неточність чи недоречність заважає можливості запровадити у повній мірі інструменти іпотечних облігацій для будівництва житла.",учасники схем,учасник схеми,member of the scheme,0,corruption,,,,,,,Grac v.18,2,sometimes_euph
409,"Тому що вони знають: якщо у людини є  <легкі гроші> , то вона з ними легко попрощається "", - пояснив адвокат. При цьому адвокат наголосив, що практично неможливо притягнути правоохоронців до відповідальності навіть за надуманий обшук.",легкі гроші,легкі гроші,easy money,0,corruption,,,,,,,Grac v. 18,6,sometimes_euph
411,Трохи можна було б і під очима <підмазати> . тональний крем ніхто не відміняв,підмазати,підмазати,apply,0,corruption,,,,,,,pawuk,6,sometimes_euph
420,"У квітні 2023 року Київська обласна енергопостачальна компанія уклала угоду на інформування через SMS своїх клієнтів. За угодою ці <послуги оцінили> у 0,31 грн/повідомлення у Viber та 0,62 грн/SMS-повідомлення на мобільні оператори України",послуги оцінили,послугу оцінити,set the price for the services,0,corruption,,,,,,,pawuk,6,sometimes_euph
430,"У порівнянні з опитуванням за аналогічний період у 2021 році, якість послуг у цій сфері покращилась. Найкраще цю <послугу оцінили> у лютому 2017 року, найгірше – у березні 2015-го.",послугу оцінили,послугу оцінити,review the quality,0,corruption,,,,,,,pawuk,6,sometimes_euph
432,"У рамках поліпшення відносин між ЄС і США ця <взаємовигідна угода> принесе позитивні результати як американській, так і європейській економіці.",взаємовигідна угода,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
440,"Українська й американська сторони підписали в четвер меморандум, який підтверджує спільне прагнення укласти <взаємовигідну угоду> про економічне партнерство між двома країнами.",взаємовигідну угоду,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,pawuk,13,sometimes_euph
442,"Уряд ФРН заявив, що також працюватиме над <прискоренням процедури> планування, скороченням бюрократії та забезпеченням «безпечної та доступої енергії» шляхом розширення потужностей сонячної та вітрової енергії.",прискоренням процедури,прискорення процедури,legal facilitation,0,corruption,,,,,,,pawuk,8,sometimes_euph
446,"Хоча вартість життя в Україні дуже низька порівняно із західними стандартами, роботу розробників добре оплачують іноземні клієнти, багато з них відмовляються від цих <легких грошей>, вирішивши будувати власні проекти.",легких грошей,легкі гроші,easy money,0,corruption,,,,,,,Grac v. 18,6,sometimes_euph
448,"Хуан Мартін <мав знайомство> , яке виявиться найважливішим в його житті: то була культурна аташе німецького посольства, з якою він ділився статтями, які надсилав у її країну.",мав знайомство,мати знайомство,have acquaintances,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
462,"Чимале значення мали й особисті контакти між представниками флотів, обговорювання спільних програм, планів дій, <взаємовигідних угод> , проведення спільних наукових конференцій, симпозіумів.",взаємовигідних угод,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
467,"Шось <темна справа>, як нема доказів то чого він сидить",темна справа,темна справа,mysterious situation,0,corruption,,,,,,,pawuk,2,sometimes_euph
468,"Ще двоє дітей живуть в Україні, зайняті в <сімейному бізнесі> .",сімейному бізнесі,сімейний бізнес,family business,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
477,"Я вважаю, що шоу-бізнес – це <сімейний бізнес >.",сімейний бізнес,сімейний бізнес,illegal activity,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
478,Я вдячний Ірландії за підтримку України на шляху європейської інтеграції. Розраховуємо й надалі разом працювати над розв’язанням відповідних питань і над <прискоренням процедур>.,прискоренням процедур,прискорення процедури,legal facilitation,0,corruption,,,,,,,pawuk,8,sometimes_euph
494,"Якщо держава не створює <соціального ліфту> , то наша команда покаже, що це можливо», - зазначив Анатолій Євлахов та додав, що команда УДАРу сильна тим, що впевнена, молода та знає що робити для розбудови країни.",соціального ліфту,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
17,"<Зелений Змій> прокашлявся, ще раз обвів присутніх каламутним поглядом, і, горланячи пісню«Ой, хмелю мій, хмелю...», поповз у напрямку Василькова.",зелений змій,зелений змій,"""The Green Snake""",0,alcoholism,,,,,,,Grac v.18,10,sometimes_euph
18,"<Зелені змії> виявилися двома довгими рослинами - ліанами, що вилися по стінах печери.",зелені змії,зелений змій,a green snake,0,alcoholism,,,,,,,Grac v.18,10,sometimes_euph
22,<Рідка валюта>. Прісної води на планеті завжди було небагато - лише 3 % від загальних запасів.,рідка валюта,рідка валюта,water,0,alcoholism,,,,,,,Grac v. 18,2,sometimes_euph
23,"<Рідка валюта>: у селах на Херсонщині питну воду продають, дарують та привозять як гостинець.",рідка валюта,рідка валюта,water,0,alcoholism,,,,,,,https://tsn.ua/ukrayina/ridka-valyuta-u-selah-na-hersonschini-pitnu-vodu-prodayut-daruyut-ta-privozyat-u-yakosti-gostinciv-905363.html,2,sometimes_euph
45,"Але я думаю, що є досить велика <проблема з алкоголем> у Львові і з його продажом після 22-ї години, ми бачимо, що є порушення режиму продажу і витікаючі проблеми.",проблема з алкоголем,проблема з алкоголем,a problem with selling alcohol,0,alcoholism,,,,,,,Grac v. 18,1,sometimes_euph
46,"Алекс Сандро зробив навіс в штрафну, Ігуаїн <прийняв на груди> і скинув на Манджукіча, але той після прийому ризикнув пробити через себе - м'яч пішов по недосяжній для Наваса траєкторії.",прийняв на груди,прийняти на груди,accept the ball onto the chest,0,alcoholism,,,,,,,Grac v. 18,13,sometimes_euph
50,"Безпощадність пасувала цьому місту з гірким присмаком журавлинного ( або, по-київськи кажучи, клюквенного ) квасу і <захмелілими від> влади очима всюдисущої охранки, яка вже давно стала неодмінним елементом щоденного побуту киян.",захмелілими,захмелілий,intoxicated by power,0,alcoholism,,,,,,,Grac v. 18,3,sometimes_euph
51,"Більше не зможуть обманути ці <зелені змії> народ. Слуги чого, чи кого? Всіх слуг геть!!!",зелені змії,зелений змій,representatives of the President's party,0,alcoholism,,,,,,,PAWUK,10,sometimes_euph
54,"Будинок Рігу, найкрасивіший на селі, був споруджений з характерного для Бургундії великого булижника, <вмазаного> в густий розчин жовтого вапна",вмазаного,вмазаний,built-in,0,alcoholism,,,,,,,Grac v. 18,7,sometimes_euph
74,"Води полоненим давали мізер, вистачало хіба що <змочити губи>.",змочити губи,мочити губи,to drink water,0,alcoholism,,,,,,,Grac v. 18,10,sometimes_euph
